feature,category,precision,recall,f1
workclass,?,0.52,0.3023255813953488,0.38235294117647056
workclass,Self-emp-inc,0.8444444444444444,0.3392857142857143,0.48407643312101917
workclass,Private,0.7105263157894737,0.26706231454005935,0.3882099209202013
workclass,Local-gov,0.7307692307692307,0.2992125984251969,0.4245810055865922
workclass,State-gov,0.8333333333333334,0.22058823529411764,0.3488372093023256
workclass,Self-emp-not-inc,0.7166666666666667,0.2670807453416149,0.3891402714932127
workclass,Federal-gov,0.45,0.125,0.1956521739130435
workclass,Without-pay,1.0,1.0,1.0
workclass,Never-worked,1.0,1.0,1.0
education,HS-grad,0.5441176470588235,0.2138728323699422,0.30705394190871366
education,Some-college,0.5686274509803921,0.2222222222222222,0.3195592286501377
education,9th,0.0,0.0,1.0
education,Bachelors,0.84,0.27391304347826084,0.4131147540983607
education,11th,0.3333333333333333,0.16666666666666666,0.2222222222222222
education,1st-4th,0.0,1.0,0.0
education,7th-8th,0.25,0.16666666666666666,0.2
education,Prof-school,0.9024390243902439,0.43023255813953487,0.5826771653543307
education,Doctorate,0.96,0.3157894736842105,0.47524752475247517
education,12th,0.25,0.14285714285714285,0.18181818181818182
education,10th,0.6,0.2,0.3
education,Assoc-voc,0.7142857142857143,0.2898550724637681,0.41237113402061853
education,Masters,0.9130434782608695,0.3442622950819672,0.5
education,Assoc-acdm,0.7272727272727273,0.2909090909090909,0.4155844155844156
education,Preschool,0.0,1.0,0.0
education,5th-6th,0.0,0.0,1.0
marital-status,Widowed,0.4166666666666667,0.38461538461538464,0.4
marital-status,Married-civ-spouse,0.8159806295399515,0.2501855976243504,0.38295454545454544
marital-status,Never-married,0.4077669902912621,0.375,0.3906976744186046
marital-status,Divorced,0.5517241379310345,0.32323232323232326,0.4076433121019108
marital-status,Separated,0.7,0.4666666666666667,0.56
marital-status,Married-spouse-absent,0.6666666666666666,0.6666666666666666,0.6666666666666666
marital-status,Married-AF-spouse,1.0,0.2,0.33333333333333337
occupation,?,0.52,0.3023255813953488,0.38235294117647056
occupation,Sales,0.7444444444444445,0.29130434782608694,0.41875000000000007
occupation,Other-service,0.3333333333333333,0.16,0.21621621621621623
occupation,Handlers-cleaners,0.13333333333333333,0.16666666666666666,0.14814814814814814
occupation,Transport-moving,0.6,0.19047619047619047,0.2891566265060241
occupation,Craft-repair,0.6551724137931034,0.20652173913043478,0.3140495867768595
occupation,Machine-op-inspct,0.4117647058823529,0.14583333333333334,0.2153846153846154
occupation,Prof-specialty,0.8639455782312925,0.327319587628866,0.4747663551401869
occupation,Adm-clerical,0.5135135135135135,0.19387755102040816,0.28148148148148144
occupation,Exec-managerial,0.8320610687022901,0.2838541666666667,0.42330097087378643
occupation,Tech-support,0.75,0.16363636363636364,0.26865671641791045
occupation,Protective-serv,0.6875,0.2972972972972973,0.41509433962264153
occupation,Farming-fishing,0.3684210526315789,0.2692307692307692,0.3111111111111111
occupation,Priv-house-serv,1.0,1.0,1.0
occupation,Armed-Forces,1.0,1.0,1.0
relationship,Not-in-family,0.5619834710743802,0.36363636363636365,0.44155844155844154
relationship,Husband,0.8097826086956522,0.24792013311148087,0.37961783439490454
relationship,Own-child,0.23529411764705882,0.4444444444444444,0.30769230769230765
relationship,Other-relative,0.5,0.5,0.5
relationship,Unmarried,0.4482758620689655,0.29545454545454547,0.35616438356164387
relationship,Wife,0.8571428571428571,0.26277372262773724,0.4022346368715084
race,White,0.7276119402985075,0.26785714285714285,0.391566265060241
race,Black,0.6206896551724138,0.24324324324324326,0.34951456310679613
race,Asian-Pac-Islander,0.6,0.2830188679245283,0.3846153846153846
race,Amer-Indian-Eskimo,0.42857142857142855,0.42857142857142855,0.42857142857142855
race,Other,0.0,0.0,1.0
sex,Male,0.7422037422037422,0.26077428780131484,0.38594594594594595
sex,Female,0.5798319327731093,0.30666666666666664,0.4011627906976744
native-country,United-States,0.708256880733945,0.2673130193905817,0.38813474107591756
native-country,Germany,1.0,0.3,0.4615384615384615
native-country,Mexico,0.5,0.14285714285714285,0.22222222222222224
native-country,?,0.7333333333333333,0.3055555555555556,0.43137254901960786
native-country,Taiwan,1.0,0.3333333333333333,0.5
native-country,El-Salvador,1.0,0.5,0.6666666666666666
native-country,Japan,1.0,0.25,0.4
native-country,Poland,1.0,0.25,0.4
native-country,Cuba,1.0,0.0,0.0
native-country,Guatemala,1.0,1.0,1.0
native-country,Puerto-Rico,0.5,0.25,0.3333333333333333
native-country,Vietnam,0.0,1.0,0.0
native-country,China,1.0,0.4,0.5714285714285715
native-country,England,0.6666666666666666,0.2222222222222222,0.3333333333333333
native-country,Trinadad&Tobago,1.0,1.0,1.0
native-country,Dominican-Republic,1.0,1.0,1.0
native-country,Haiti,1.0,0.0,0.0
native-country,Yugoslavia,1.0,0.0,0.0
native-country,Canada,0.75,0.375,0.5
native-country,Ireland,0.0,0.0,1.0
native-country,Italy,1.0,0.16666666666666666,0.2857142857142857
native-country,Ecuador,1.0,1.0,1.0
native-country,Portugal,1.0,1.0,1.0
native-country,Columbia,1.0,1.0,1.0
native-country,Honduras,1.0,1.0,1.0
native-country,Nicaragua,1.0,0.0,0.0
native-country,South,0.5,0.5,0.5
native-country,Jamaica,1.0,0.0,0.0
native-country,Philippines,0.75,0.2,0.31578947368421056
native-country,Thailand,1.0,0.0,0.0
native-country,Iran,1.0,0.14285714285714285,0.25
native-country,India,0.6666666666666666,0.4,0.5
native-country,Scotland,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,France,1.0,1.0,1.0
native-country,Greece,1.0,1.0,1.0
native-country,Cambodia,0.0,0.0,1.0
native-country,Hong,1.0,1.0,1.0
native-country,Peru,1.0,1.0,1.0
native-country,Laos,1.0,1.0,1.0
native-country,Hungary,1.0,1.0,1.0
